"Story","Title","Result","Date","Stability","Duration (s)"
"Data driven pet test","Data driven test for multiple pet to the pet","SUCCESS","2023-01-10T16:25:35.479Z[Europe/London]","0.0","13.76"
"Data driven user test","data driven test for multiple user create","SUCCESS","2023-01-10T16:25:36.830Z[Europe/London]","0.0","13.3"
"Tag with user runner","Provide 415 code when post data","SUCCESS","2023-01-10T16:25:38.497Z[Europe/London]","0.0","0.54"
"Tag with user runner","This test will verify if a status code of 405 is returned for GET request","SUCCESS","2023-01-10T16:25:39.034Z[Europe/London]","0.0","0.53"
"Tag with user runner","This test will provide an error code of 404 when user tries to access an invalid resource","SUCCESS","2023-01-10T16:25:39.570Z[Europe/London]","0.0","0.47"
"Pet creation data","CRUD Test","SUCCESS","2023-01-10T16:25:07.313Z[Europe/London]","0.0","11.83"
"Testing different request of pets on the petstore application","check all pets added into petstores and verify status code","SUCCESS","2023-01-10T16:25:20.797Z[Europe/London]","0.0","0.51"
"Testing different request of pets on the petstore application","get  single pet data using by id","SUCCESS","2023-01-10T16:25:21.403Z[Europe/London]","0.0","0.6"
"Testing different request of pets on the petstore application","update pet with name","SUCCESS","2023-01-10T16:25:22.091Z[Europe/London]","0.0","0.49"
"Testing different request of pets on the petstore application","Delete pet with using id and vberify","SUCCESS","2023-01-10T16:25:22.633Z[Europe/London]","0.0","0.56"
"User Data Creating in Petstore application","CRUD Test","SUCCESS","2023-01-10T16:25:23.252Z[Europe/London]","0.0","8.02"
"Testing different request of user on the petstore application","check user added into petstores and verify status code","SUCCESS","2023-01-10T16:25:31.353Z[Europe/London]","0.0","0.55"
"Testing different request of user on the petstore application","get  single pet data using by id","SUCCESS","2023-01-10T16:25:31.963Z[Europe/London]","0.0","0.48"
"Testing different request of user on the petstore application","update pet with name","SUCCESS","2023-01-10T16:25:32.514Z[Europe/London]","0.0","0.97"
"Testing different request of user on the petstore application","Delete pet with using id and vberify","SUCCESS","2023-01-10T16:25:33.565Z[Europe/London]","0.0","0.49"
